state,percent_forest,transportation_percent,coal_consumption,carbon_dioxide,GDP,,,,
Alabama,70.57,86.4,18494,23.7,41389,,,,
Alaska,35.16,66.7,1101,47,74422,,,,
Arizona,25.64,76.3,17156,12.6,44161,,,,
Arkansas,56.31,83.4,15391,20.9,39580,,,,
California,32.71,73.2,1464,9.2,70662,,,,
Colorado,34.42,74.7,16924,16.1,61311,,,,
Connecticut,55.24,77.9,137,9.6,69789,,,,
Delaware,27.26,80.3,186,14,64985,,,,
District of Columbia,33.9,32.3,1,4,48479,,,,
Florida,50.68,79.6,17414,11.1,44267,,,,
Georgia,67.28,79.6,17105,13.2,50816,,,,
Hawaii,42.53,67.6,759,12.9,58981,,,,
Idaho,40.55,78.8,114,10.9,40566,,,,
Illinois,13.64,73.6,37889,15.9,61713,,,,
Indiana,21.06,83.0,41315,27.4,49321,,,,
Iowa,8.43,80.9,17011,23.4,55051,,,,
Kansas,4.78,82.4,12654,21.3,53528,,,,
Kentucky,49.35,82.8,28519,27.9,42386,,,,
Louisiana,53.2,82.6,8638,44.6,51729,,,,
Maine,89.46,77.4,85,12.4,43541,,,,
Maryland,39.36,74.0,43342,9.6,61926,,,,
Massachusetts,60.57,71.8,563,9.4,75258,,,,
Michigan,55.62,82.4,26032,15.3,47448,,,,
Minnesota,34.08,78.4,14568,16.2,60066,,,,
Mississippi,65.07,84.0,3865,23.1,35015,,,,
Missouri,35.16,81.7,40437,19.3,47407,,,,
Montana,27.45,75.1,9198,29.3,44145,,,,
Nebraska,3.2,81.5,13743,25.4,59386,,,,
Nevada,15.89,78.4,1356,12.5,50043,,,,
New Hampshire,84.32,81.2,134,10.3,57272,,,,
New Jersey,41.72,72.0,631,12.3,63492,,,,
New Mexico,31.99,79.2,10566,23.2,46304,,,,
New York,62.88,52.8,738,8.3,75131,,,,
North Carolina,59.73,81.1,14020,11.9,48496,,,,
North Dakota,1.72,79.0,28804,71.8,70991,,,,
Ohio,30.92,83.6,32438,17.1,52664,,,,
Oklahoma,28.8,83.4,11413,24.7,50876,,,,
Oregon,48.51,71.6,1072,9.3,52726,,,,
Pennsylvania,58.6,76.8,30420,17,56868,,,,
Rhode Island,54.38,80.3,0,9.2,51963,,,,
South Carolina,68.19,82.9,7898,14.5,41457,,,,
South Dakota,3.93,79.7,1579,17.4,52913,,,,
Tennessee,52.83,83.9,16035,15.5,48440,,,,
Texas,37.33,80.2,94117,23.4,61682,,,,
Utah,34.38,76.0,26303,19.3,51407,,,,
Vermont,77.811,75.4,0,9.6,48855,,,,
Virginia,62.93,77.4,6833,12.4,56938,,,,
Washington,52.74,72.7,3699,10.8,69761,,,,
West Virginia,79.01,81.5,28919,51.7,40265,,,,
Wisconsin,48.98,80.5,21853,16.6,52534,,,,
Wyoming,18.42,77.1,26303,103.7,67915,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
